as_of_date,reference_date,release_tag
2026-06-13,2026-06-13,results-798
2026-06-14,2026-06-14,results-808
2026-06-15,2026-06-20,results-862
2026-06-19,2026-06-23,results-963
2026-06-22,2026-06-25,results-977
2026-06-23,2026-06-26,results-1002
2026-07-01,2026-07-04,results-v1.7.0
2026-07-04,2026-07-07,results-1172
2026-07-06,2026-07-10,results-v1.8.0
2026-07-08,2026-07-11,results-v1.9.0
2026-07-10,2026-07-14,results-1220
2026-07-11,2026-07-16,results-1243
2026-07-14,2026-07-17,results-1257
2026-07-17,2026-07-21,results-1325
